2018-03-18 23:02:02:INFO: SecondCandleClose:'1229654', BBUp:'1229939', BBLow:'1229582', RSI: '34', ARUp:'21', ARDown:'100'
2018-03-18 23:03:01:INFO: SecondCandleClose:'1229551', BBUp:'1229909', BBLow:'1229575', RSI: '34', ARUp:'14', ARDown:'100'
2018-03-18 23:04:01:INFO: SecondCandleClose:'1229619', BBUp:'1229869', BBLow:'1229557', RSI: '27', ARUp:'7', ARDown:'100'
2018-03-18 23:05:02:INFO: SecondCandleClose:'1229565', BBUp:'1229865', BBLow:'1229540', RSI: '40', ARUp:'7', ARDown:'100'
2018-03-18 23:06:01:INFO: SecondCandleClose:'1229456', BBUp:'1229861', BBLow:'1229511', RSI: '36', ARUp:'28', ARDown:'100'
2018-03-18 23:07:02:INFO: SecondCandleClose:'1229517', BBUp:'1229892', BBLow:'1229444', RSI: '35', ARUp:'21', ARDown:'100'
2018-03-18 23:08:02:INFO: SecondCandleClose:'1229474', BBUp:'1229876', BBLow:'1229419', RSI: '32', ARUp:'14', ARDown:'100'
2018-03-18 23:09:02:INFO: SecondCandleClose:'1229489', BBUp:'1229860', BBLow:'1229389', RSI: '31', ARUp:'7', ARDown:'92'
2018-03-18 23:10:02:INFO: SecondCandleClose:'1229338', BBUp:'1229856', BBLow:'1229364', RSI: '37', ARUp:'35', ARDown:'85'
2018-03-18 23:11:02:INFO: SecondCandleClose:'1229296', BBUp:'1229879', BBLow:'1229291', RSI: '31', ARUp:'28', ARDown:'100'
2018-03-18 23:12:02:INFO: SecondCandleClose:'1229398', BBUp:'1229869', BBLow:'1229230', RSI: '21', ARUp:'21', ARDown:'100'
2018-03-18 23:13:01:INFO: SecondCandleClose:'1229365', BBUp:'1229809', BBLow:'1229230', RSI: '27', ARUp:'14', ARDown:'92'
2018-03-18 23:14:02:INFO: SecondCandleClose:'1229345', BBUp:'1229750', BBLow:'1229230', RSI: '28', ARUp:'7', ARDown:'85'
2018-03-18 23:15:01:INFO: SecondCandleClose:'1229231', BBUp:'1229715', BBLow:'1229217', RSI: '30', ARUp:'7', ARDown:'78'
2018-03-18 23:16:02:INFO: SecondCandleClose:'1229194', BBUp:'1229688', BBLow:'1229179', RSI: '26', ARUp:'7', ARDown:'100'
2018-03-18 23:17:01:INFO: SecondCandleClose:'1229161', BBUp:'1229686', BBLow:'1229126', RSI: '28', ARUp:'7', ARDown:'100'
2018-03-18 23:18:02:INFO: SecondCandleClose:'1229175', BBUp:'1229651', BBLow:'1229091', RSI: '21', ARUp:'7', ARDown:'100'
2018-03-18 23:19:02:INFO: SecondCandleClose:'1229206', BBUp:'1229613', BBLow:'1229069', RSI: '24', ARUp:'7', ARDown:'100'
2018-03-18 23:20:02:INFO: SecondCandleClose:'1229077', BBUp:'1229594', BBLow:'1229049', RSI: '32', ARUp:'21', ARDown:'92'
2018-03-18 23:21:01:INFO: SecondCandleClose:'1229077', BBUp:'1229565', BBLow:'1229010', RSI: '21', ARUp:'14', ARDown:'100'
2018-03-18 23:22:02:INFO: SecondCandleClose:'1228965', BBUp:'1229562', BBLow:'1228935', RSI: '19', ARUp:'7', ARDown:'100'
2018-03-18 23:23:01:INFO: SecondCandleClose:'1229030', BBUp:'1229523', BBLow:'1228894', RSI: '18', ARUp:'7', ARDown:'100'
